="Regressing Enrollment on DK VA, Heterogeneity by Prior ela score decile"

="",="Base Sample Base Controls",="",="",="",="Kitchen Sink Sample Base Controls",="",="",="",="Kitchen Sink Sample Kitchen Sink Controls",="",="",="",="Base Sample Base Controls",="",="",="",="Kitchen Sink Sample Base Controls",=""
="",="(0.003)",="(0.003)",="(0.005)",="(0.005)",="(0.005)",="(0.005)",="(0.003)",="(0.003)",="(0.005)",="(0.005)",="(0.005)",="(0.005)",="(0.002)",="(0.002)",="(0.004)",="(0.004)",="(0.004)",="(0.004)"

="2015.year#c.prior_ela_z_score",="0.055***",="0.057***",="0.055***",="0.058***",="0.057***",="0.059***",="-0.043***",="-0.040***",="-0.047***",="-0.043***",="-0.046***",="-0.042***",="0.097***",="0.097***",="0.101***",="0.101***",="0.102***",="0.101***"
="",="(0.002)",="(0.002)",="(0.003)",="(0.003)",="(0.003)",="(0.003)",="(0.002)",="(0.002)",="(0.003)",="(0.003)",="(0.003)",="(0.003)",="(0.002)",="(0.002)",="(0.003)",="(0.003)",="(0.003)",="(0.003)"

="2016.year#c.prior_ela_z_score",="0.050***",="0.054***",="0.050***",="0.054***",="0.051***",="0.054***",="-0.037***",="-0.036***",="-0.042***",="-0.040***",="-0.041***",="-0.041***",="0.091***",="0.090***",="0.095***",="0.094***",="0.095***",="0.095***"
="",="(0.002)",="(0.002)",="(0.003)",="(0.003)",="(0.003)",="(0.003)",="(0.002)",="(0.002)",="(0.003)",="(0.003)",="(0.003)",="(0.003)",="(0.002)",="(0.002)",="(0.003)",="(0.003)",="(0.003)",="(0.003)"

="2017.year#c.prior_ela_z_score",="0.058***",="0.059***",="0.063***",="0.066***",="0.065***",="0.066***",="-0.038***",="-0.035***",="-0.038***",="-0.034***",="-0.037***",="-0.035***",="0.094***",="0.095***",="0.098***",="0.100***",="0.100***",="0.100***"
="",="(0.002)",="(0.002)",="(0.003)",="(0.003)",="(0.003)",="(0.003)",="(0.002)",="(0.002)",="(0.003)",="(0.003)",="(0.003)",="(0.003)",="(0.002)",="(0.002)",="(0.003)",="(0.003)",="(0.003)",="(0.003)"

="2018.year#c.prior_ela_z_score",="0.063***",="0.067***",="0.068***",="0.072***",="0.069***",="0.072***",="-0.025***",="-0.023***",="-0.028***",="-0.026***",="-0.027***",="-0.026***",="0.088***",="0.090***",="0.096***",="0.097***",="0.097***",="0.098***"
="",="(0.002)",="(0.002)",="(0.004)",="(0.004)",="(0.004)",="(0.004)",="(0.002)",="(0.002)",="(0.004)",="(0.004)",="(0.004)",="(0.004)",="(0.002)",="(0.002)",="(0.004)",="(0.004)",="(0.004)",="(0.004)"

="2015.year#c.prior_ela_z_score#c.prior_ela_z_score",="-0.005***",="-0.007***",="-0.003*",="-0.005***",="-0.004**",="-0.005***",="-0.027***",="-0.030***",="-0.026***",="-0.029***",="-0.027***",="-0.030***",="0.021***",="0.023***",="0.022***",="0.024***",="0.023***",="0.025***"
="",="(0.001)",="(0.001)",="(0.002)",="(0.002)",="(0.002)",="(0.002)",="(0.001)",="(0.001)",="(0.002)",="(0.002)",="(0.002)",="(0.002)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)"

="2016.year#c.prior_ela_z_score#c.prior_ela_z_score",="-0.006***",="-0.008***",="-0.009***",="-0.011***",="-0.010***",="-0.011***",="-0.023***",="-0.026***",="-0.027***",="-0.030***",="-0.028***",="-0.031***",="0.017***",="0.019***",="0.017***",="0.018***",="0.018***",="0.019***"
="",="(0.001)",="(0.001)",="(0.002)",="(0.002)",="(0.002)",="(0.002)",="(0.001)",="(0.001)",="(0.002)",="(0.002)",="(0.002)",="(0.002)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)"

="2017.year#c.prior_ela_z_score#c.prior_ela_z_score",="-0.004***",="-0.006***",="-0.006***",="-0.009***",="-0.007***",="-0.008***",="-0.025***",="-0.028***",="-0.026***",="-0.030***",="-0.027***",="-0.030***",="0.020***",="0.022***",="0.020***",="0.022***",="0.020***",="0.022***"
="",="(0.001)",="(0.001)",="(0.002)",="(0.002)",="(0.002)",="(0.002)",="(0.001)",="(0.001)",="(0.002)",="(0.002)",="(0.002)",="(0.002)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)"

="2018.year#c.prior_ela_z_score#c.prior_ela_z_score",="-0.008***",="-0.010***",="-0.010***",="-0.012***",="-0.011***",="-0.012***",="-0.028***",="-0.030***",="-0.031***",="-0.033***",="-0.031***",="-0.033***",="0.019***",="0.020***",="0.019***",="0.020***",="0.020***",="0.021***"
="",="(0.001)",="(0.001)",="(0.002)",="(0.002)",="(0.002)",="(0.002)",="(0.001)",="(0.001)",="(0.002)",="(0.002)",="(0.002)",="(0.002)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.002)"

="2015.year#c.prior_ela_z_score#c.prior_ela_z_score#c.prior_ela_z_score",="-0.002***",="-0.002***",="-0.003***",="-0.003***",="-0.003***",="-0.003***",="0.006***",="0.006***",="0.006***",="0.006***",="0.006***",="0.006***",="-0.008***",="-0.008***",="-0.009***",="-0.009***",="-0.009***",="-0.009***"
