# M4 golden-master diff summary
# generated:  9 Jun 2026 20:48:20
# tier_filter: full
# rows_compared: 8324
# format: <STATUS>  <tier>  <filetype>  <consolidated_relpath>  <details>
#
PASS                    full    dta     data/cleaned/calschls/demotrim/parent/trimparentdemo1819.dta  cf _all: 0 cumulative diffs
PASS                    full    dta     data/cleaned/calschls/demotrim/secondary/trimsecdemo1415.dta  cf _all: 0 cumulative diffs
PASS                    full    dta     data/cleaned/calschls/demotrim/secondary/trimsecdemo1516.dta  cf _all: 0 cumulative diffs
PASS                    full    dta     data/cleaned/calschls/demotrim/secondary/trimsecdemo1617.dta  cf _all: 0 cumulative diffs
PASS                    full    dta     data/cleaned/calschls/demotrim/secondary/trimsecdemo1718.dta  cf _all: 0 cumulative diffs
PASS                    full    dta     data/cleaned/calschls/demotrim/secondary/trimsecdemo1819.dta  cf _all: 0 cumulative diffs
PASS                    full    dta     data/cleaned/cde/cds_nces_id_xwalk.dta  cf _all: 0 cumulative diffs
PASS                    full    dta     data/cleaned/cde/charter_status.dta  cf _all: 0 cumulative diffs
PASS                    full    dta     data/cleaned/cde/ecn_disadv.dta  cf _all: 0 cumulative diffs
MISSING_CONSOLIDATED    full    dta     data/cleaned/cde/elsch/elsch_2013_clean.dta  cons not found: /home/research/ca_ed_lab/projects/common_core_va/consolidated/data/cleaned/cde/elsch/elsch_2013_clean.dta
MISSING_CONSOLIDATED    full    dta     data/cleaned/cde/elsch/elsch_2014_clean.dta  cons not found: /home/research/ca_ed_lab/projects/common_core_va/consolidated/data/cleaned/cde/elsch/elsch_2014_clean.dta
PASS                    full    dta     data/cleaned/cde/elsch/elsch_2015_clean.dta  cf _all: 0 cumulative diffs
PASS                    full    dta     data/cleaned/cde/elsch/elsch_2016_clean.dta  cf _all: 0 cumulative diffs
PASS                    full    dta     data/cleaned/cde/elsch/elsch_2017_clean.dta  cf _all: 0 cumulative diffs
PASS                    full    dta     data/cleaned/cde/elsch/elsch_2018_clean.dta  cf _all: 0 cumulative diffs
MISSING_CONSOLIDATED    full    dta     data/cleaned/cde/elsch/elsch_2019_clean.dta  cons not found: /home/research/ca_ed_lab/projects/common_core_va/consolidated/data/cleaned/cde/elsch/elsch_2019_clean.dta
MISSING_CONSOLIDATED    full    dta     data/cleaned/cde/elsch/elsch_2020_clean.dta  cons not found: /home/research/ca_ed_lab/projects/common_core_va/consolidated/data/cleaned/cde/elsch/elsch_2020_clean.dta
MISSING_CONSOLIDATED    full    dta     data/cleaned/cde/enr/enr_2013_clean.dta  cons not found: /home/research/ca_ed_lab/projects/common_core_va/consolidated/data/cleaned/cde/enr/enr_2013_clean.dta
MISSING_CONSOLIDATED    full    dta     data/cleaned/cde/enr/enr_2014_clean.dta  cons not found: /home/research/ca_ed_lab/projects/common_core_va/consolidated/data/cleaned/cde/enr/enr_2014_clean.dta
